name,price,brand,kv,i_a,v,p_w,m_kg
Turnigy AquaStar 4084-620KV Water Cooled Brushless Motor,74.14,aquastar,620.0,105.0,37.0,3050.0,0.508
Turnigy Aerodrive SK3 - 6374-168KV Brushless Outrunner Motor,84.95,sk3,168.0,70.0,44.0,2400.0,0.84
Turnigy Aerodrive SK3 - 2826-1240kv Brushless Outrunner Motor,18.73,sk3,1240.0,16.0,11.0,150.0,0.045
Turnigy LD2840A-1800kv Brushless Motor (400w),14.22,turnigy,1800.0,30.0,15.0,400.0,0.079
Turnigy XK2040-4500KV Brushless Inrunner,17.31,turnigyxk,4500.0,20.0,8.0,168.0,0.064
Turnigy Aerodrive SK3 - 5065-236KV Brushless Outrunner Motor,61.68,sk3,236.0,60.0,37.0,1850.0,0.53
Multistar V-Spec 1104-3600KV Multi-Rotor Motor (CW),6.87,multistar,3600.0,8.0,7.0,16.0,0.008
Turnigy AX-2204C 1450KV/70W Brushless Outrunner Motor,15.13,turnigy,1450.0,8.0,7.0,70.0,0.02
Alloy Motor Heatsink w/Fan Mount for 36 Size Motor,1.47,,,,,,
Turnigy Aerodrive SK3 - 2822-1740kv Brushless Outrunner Motor,17.98,sk3,1740.0,10.0,11.0,115.0,0.032
Turnigy 3632 Brushless Motor 1200kv,24.81,turnigy,1200.0,40.0,13.0,340.0,0.099
Turnigy CA80 160kv Brushless Outrunner (50~80cc Eq),167.60,turnigy,160.0,0.0,50.0,0.0,1.545
Turnigy 1/8th Scale 4 Pole Brushless Motor - 2100KV,44.43,turnigy,2100.0,80.0,18.0,2590.0,0.308
Turnigy L2855-2800 EDF Outrunner (730w),14.59,turnigy,2800.0,43.0,15.0,730.0,0.097
EMAX RS2205-S 2600KV Motor for FPV Racing CW Shaft Rotation,16.43,emax,2300.0,,15.0,,
Turnigy TrackStar Waterproof 1/8 Brushless Power System 2100KV/120A,104.95,trackstar,2100.0,140.0,16.0,1680.0,0.141
NTM Prop Drive 4248 Series Replacement Shaft,0.67,ntm,,,,,
Turnigy Aerodrive SK3 - 5065-320kv Brushless Outrunner Motor,60.31,sk3,320.0,70.0,37.0,2220.0,0.531
Turnigy AquaStar 4084-1050KV Water Cooled Brushless Motor,74.14,aquastar,1050.0,160.0,23.0,3100.0,0.49
Dr. Mad Thrust Series Motor B2970 - 2600kv for 70mm EDF / 6S,39.68,drmadthrust,2600.0,80.0,22.0,1700.0,0.196
Turnigy Multistar 4225-390Kv 16Pole Multi-Rotor Outrunner,31.81,multistar,390.0,15.0,22.0,330.0,0.086
Turnigy2836 brushless Outrunner 2350kv,22.28,turnigy,2350.0,0.0,12.0,480.0,0.079
Turnigy AquaStar 3520-1700KV Water Cooled Brushless Outrunner Motor,25.89,aquastar,1700.0,50.0,15.0,750.0,0.188
Turnigy Aerodrive SK3 2822-1275 Brushless Outrunner with Short Shaft,10.06,sk3,1275.0,8.0,13.0,95.0,0.031
